appid,0,1,2,3,4,5,6,7
49520,1.0,0.0,5.0,0.0,2.0,1.0,1.0,2.0
49600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50130,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
50300,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0
55040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
55100,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
55110,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55150,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0
55230,1.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0
57300,5.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0
57690,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
57900,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
61700,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62100,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63000,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
63700,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63710,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
65800,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0
65930,0.0,0.0,0.0,3.0,5.0,5.0,0.0,5.0
65980,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
67000,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67370,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
70000,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0
70100,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
70110,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
70120,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
70300,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70400,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
70420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
71340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
72000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
72400,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
72850,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0
78000,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80310,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91200,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
91600,5.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0
92000,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
92100,0.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0
92800,5.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0
93200,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
94200,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95000,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
95300,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96000,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
96100,0.0,2.0,5.0,0.0,5.0,3.0,0.0,0.0
97330,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
98200,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
98400,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
99700,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99900,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102600,4.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
102840,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0
104200,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
104900,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
105600,3.0,5.0,2.0,5.0,3.0,2.0,2.0,5.0
105800,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107100,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0
107300,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107310,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
108200,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
108600,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
108710,2.0,0.0,5.0,3.0,5.0,5.0,0.0,0.0
108800,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109600,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
110800,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0
111400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
111600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
112100,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
113020,2.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0
113200,4.0,2.0,0.0,2.0,5.0,0.0,0.0,2.0
115100,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
115110,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0
115320,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
200010,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
200210,2.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
200260,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0
200510,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
200550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
200710,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
200900,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
201290,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201420,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201570,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0
201790,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
201810,5.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
201870,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
202750,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
202970,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0
203140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
203160,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0
203210,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
203350,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
203510,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
203630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
203770,2.0,0.0,0.0,3.0,3.0,5.0,0.0,0.0
204060,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
204100,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
204120,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
204180,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0
204300,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0
204360,2.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0
204630,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
204880,0.0,0.0,0.0,3.0,5.0,3.0,0.0,0.0
205100,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205730,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205910,0.0,0.0,0.0,3.0,0.0,5.0,0.0,4.0
206190,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
206210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
206370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
206420,5.0,3.0,0.0,0.0,2.0,5.0,1.0,5.0
206440,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
207080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
207140,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0
207170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
207230,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
207250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
207400,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
207530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
207750,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
208140,5.0,0.0,0.0,0.0,4.0,2.0,0.0,4.0
